human_channel,freq,phys,sub,station
36.1, 8vsb, 36, 1, KWSD-TV
46.1, 8vsb, 21, 3, KDLT-TV
46.2, 8vsb, 21, 4, FOX
46.3, 8vsb, 21, 5, Antenna
46.4, 8vsb, 21, 6, Cozi
46.5, 8vsb, 21, 7, Court
4.1, 8vsb, 14, 1, KTIVNBC
4.2, 8vsb, 14, 2, KTIVCW
4.3, 8vsb, 14, 3, KTIVME
4.4, 8vsb, 14, 4, CourtTV
4.5, 8vsb, 14, 5, Ion
13.1, 8vsb, 13, 3, KSFY-TV
13.2, 8vsb, 13, 4, CW
13.3, 8vsb, 13, 5, MeTV
13.4, 8vsb, 13, 6, T-Crime
13.5, 8vsb, 13, 7, Grio
11.1, 8vsb, 11, 3, KELO
11.2, 8vsb, 11, 4, UTV
11.3, 8vsb, 11, 5, ION
11.4, 8vsb, 11, 6, Escape
7.1, 8vsb, 7, 3, KTTW-HD
7.2, 8vsb, 7, 4, ThisTV
7.3, 8vsb, 7, 5, SBN
7.4, 8vsb, 7, 6, LAFF
7.5, 8vsb, 7, 7, Bounce
7.6, 8vsb, 7, 8, Grit
7.7, 8vsb, 7, 9, DEFY
7.8, 8vsb, 7, 10, TrReal
7.9, 8vsb, 7, 11, NEWSY
7.10, 8vsb, 7, 12, Quest
7.11, 8vsb, 7, 13, Twist
